ect	378,0,0.021767847912239388,5.182421227197347e-05	ham	0.021767847912239388	
and	258,277,0.014875653322612141,0.014407131011608624	ham	0.014875653322612141	
hou	203,0,0.01171673080236632,5.182421227197347e-05	ham	0.01171673080236632	
in	160,157,0.009247027741083224,0.008188225538971807	ham	0.009247027741083224	
for	148,153,0.008557808282120499,0.007980928689883914	ham	0.008557808282120499	
on	122,95,0.007064499454367928,0.004975124378109453	ham	0.007064499454367928	
enron	116,0,0.006719889724886566,5.182421227197347e-05	ham	0.006719889724886566	
will	113,69,0.006547584860145885,0.0036276948590381426	ham	0.006547584860145885	
i	113,106,0.006547584860145885,0.005545190713101161	ham	0.006547584860145885	
this	99,90,0.0057434954913560396,0.004716003316749586	ham	0.0057434954913560396	
be	90,84,0.005226580897133995,0.0044050580431177445	ham	0.005226580897133995	
is	86,86,0.0049968410774797545,0.004508706467661692	ham	0.0049968410774797545	
with	72,76,0.004192751708689909,0.003990464344941957	ham	0.004192751708689909	
we	66,67,0.0038481419792085465,0.0035240464344941957	ham	0.0038481419792085465	
am	58,14,0.003388662339900063,0.000777363184079602	ham	0.003388662339900063	
as	54,39,0.0031589225202458215,0.0020729684908789387	ham	0.0031589225202458215	
by	52,57,0.0030440526104187006,0.0030058043117744612	ham	0.0030440526104187006	
kevin	47,0,0.002756877835850899,5.182421227197347e-05	ham	0.002756877835850899	
please	41,20,0.0024122681063695364,0.0010883084577114428	ham	0.0024122681063695364	
management	40,0,0.002354833151455976,5.182421227197347e-05	ham	0.002354833151455976	
new	39,19,0.0022973981965424156,0.0010364842454394694	ham	0.0022973981965424156	
moore	39,0,0.0022973981965424156,5.182421227197347e-05	ham	0.0022973981965424156	
cc	37,0,0.0021825282867152947,5.182421227197347e-05	ham	0.0021825282867152947	
energy	37,2,0.0021825282867152947,0.0001554726368159204	ham	0.0021825282867152947	
gas	36,0,0.0021250933318017347,5.182421227197347e-05	ham	0.0021250933318017347	
subject	36,10,0.0021250933318017347,0.0005700663349917081	ham	0.0021250933318017347	
need	35,14,0.0020676583768881743,0.000777363184079602	ham	0.0020676583768881743	
some	35,25,0.0020676583768881743,0.00134742951907131	ham	0.0020676583768881743	
global	34,1,0.002010223421974614,0.00010364842454394693	ham	0.002010223421974614	
thanks	33,0,0.0019527884670610533,5.182421227197347e-05	ham	0.0019527884670610533	
would	32,22,0.001895353512147493,0.0011919568822553897	ham	0.001895353512147493	
any	32,25,0.001895353512147493,0.00134742951907131	ham	0.001895353512147493	
pm	31,3,0.0018379185572339326,0.00020729684908789387	ham	0.0018379185572339326	
risk	31,3,0.0018379185572339326,0.00020729684908789387	ham	0.0018379185572339326	
operations	29,0,0.0017230486474068118,5.182421227197347e-05	ham	0.0017230486474068118	
corp	28,2,0.0016656136924932514,0.0001554726368159204	ham	0.0016656136924932514	
forwarded	27,0,0.001608178737579691,5.182421227197347e-05	ham	0.001608178737579691	
me	27,23,0.001608178737579691,0.0012437810945273632	ham	0.001608178737579691	
trading	26,0,0.0015507437826661305,5.182421227197347e-05	ham	0.0015507437826661305	
been	25,8,0.0014933088277525703,0.0004664179104477612	ham	0.0014933088277525703	
has	25,24,0.0014933088277525703,0.0012956053067993366	ham	0.0014933088277525703	
also	24,21,0.0014358738728390099,0.0011401326699834163	ham	0.0014358738728390099	
g	23,6,0.0013784389179254495,0.00036276948590381424	ham	0.0013784389179254495	
printer	23,0,0.0013784389179254495,5.182421227197347e-05	ham	0.0013784389179254495	
sally	23,0,0.0013784389179254495,5.182421227197347e-05	ham	0.0013784389179254495	
re	23,9,0.0013784389179254495,0.0005182421227197347	ham	0.0013784389179254495	
these	22,18,0.001321003963011889,0.000984660033167496	ham	0.001321003963011889	
j	21,1,0.0012635690080983286,0.00010364842454394693	ham	0.0012635690080983286	
up	20,19,0.0012061340531847682,0.0010364842454394694	ham	0.0012061340531847682	
work	20,6,0.0012061340531847682,0.00036276948590381424	ham	0.0012061340531847682	
business	20,20,0.0012061340531847682,0.0010883084577114428	ham	0.0012061340531847682	
christmas	20,0,0.0012061340531847682,5.182421227197347e-05	ham	0.0012061340531847682	
david	19,0,0.0011486990982712078,5.182421227197347e-05	ham	0.0011486990982712078	
know	19,18,0.0011486990982712078,0.000984660033167496	ham	0.0011486990982712078	
issues	18,1,0.0010912641433576474,0.00010364842454394693	ham	0.0010912641433576474	
group	18,1,0.0010912641433576474,0.00010364842454394693	ham	0.0010912641433576474	
shirley	18,0,0.0010912641433576474,5.182421227197347e-05	ham	0.0010912641433576474	
rate	18,5,0.0010912641433576474,0.0003109452736318408	ham	0.0010912641433576474	
color	18,1,0.0010912641433576474,0.00010364842454394693	ham	0.0010912641433576474	
